20-Ca-44(n,&gamma;) ENDF/B-VII.1
148159.0,0.0319783
148162.0,0.0386337
148164.0,0.0477692
148166.0,0.0601483
148169.0,0.0766452
148171.0,0.100629
148174.0,0.13498
148177.0,0.181174
148181.0,0.25451
148192.0,0.494354
148196.0,0.560181
148200.0,0.584967
148200.0,0.58494
148204.0,0.566519
148207.0,0.514967
148213.0,0.389599
148220.0,0.243761
148223.0,0.17451
148226.0,0.127807
148229.0,0.0963456
148231.0,0.0745716
148234.0,0.05805
148236.0,0.0460051
148239.0,0.0364297
148242.0,0.0296952
148244.0,0.024976
148247.0,0.0211128
148250.0,0.0185142
148255.0,0.0161128
148260.0,0.0143538
148268.0,0.0125425
148279.0,0.0112359
148296.0,0.00996744
148325.0,0.00891444
148365.0,0.00820186
148460.0,0.00744274
148674.0,0.00657796
149123.0,0.00536269
149612.0,0.0043877
150138.0,0.00363911
150558.0,0.00326002
150716.0,0.00320681
150874.0,0.00327567
150979.0,0.00348188
151058.0,0.00384309
151111.0,0.00430141
151148.0,0.00482605
151184.0,0.00566238
151211.0,0.00659449
151233.0,0.0077682
151254.0,0.00939382
151270.0,0.0113454
151284.0,0.0136591
151296.0,0.0164581
151307.0,0.0199466
151316.0,0.024217
151324.0,0.0297364
151332.0,0.0366335
151338.0,0.044945
151344.0,0.05537
151349.0,0.0677007
151354.0,0.0853432
151359.0,0.107393
151363.0,0.136109
151368.0,0.175646
151373.0,0.236818
151381.0,0.345508
151390.0,0.480254
151395.0,0.532179
151400.0,0.552049
151404.0,0.537564
151410.0,0.484305
151426.0,0.243056
151432.0,0.180441
151436.0,0.141007
151441.0,0.110094
151446.0,0.0862688
151450.0,0.070316
151456.0,0.0559788
151461.0,0.0458662
151467.0,0.0373476
151474.0,0.0308683
151482.0,0.0252105
151491.0,0.0206757
151502.0,0.0169711
151513.0,0.0141049
151527.0,0.0115886
151543.0,0.00954616
151560.0,0.00802943
151582.0,0.00668682
151609.0,0.00557182
151638.0,0.00477578
