45-Rh-103(n,&gamma;) ENDF/B-VII.1
361.655,0.322796
361.724,0.411788
361.803,0.545837
361.883,0.717208
361.984,0.986312
362.128,1.46882
362.379,2.37624
362.525,2.75216
362.652,2.87767
362.661,2.87824
362.78,2.78123
362.91,2.47859
363.129,1.7132
363.304,1.10715
363.415,0.79692
363.507,0.596291
363.591,0.455568
363.66,0.367874
363.736,0.295015
363.813,0.243272
363.898,0.204933
363.97,0.184304
364.068,0.168614
364.167,0.163098
364.2,0.162944
364.331,0.168889
364.463,0.184286
364.597,0.211574
364.714,0.250482
364.798,0.292424
364.882,0.352993
364.949,0.421022
365.02,0.520284
365.093,0.662285
365.156,0.826857
365.219,1.04237
365.282,1.3211
365.347,1.6896
365.422,2.23937
365.498,2.93966
365.586,3.96576
365.696,5.57783
365.884,8.92983
366.085,12.4708
366.226,14.0962
366.34,14.5336
366.471,13.9512
366.612,12.1991
366.977,5.67594
367.088,4.04664
367.182,2.93947
367.26,2.21531
367.339,1.65224
367.413,1.24666
367.48,0.968152
367.547,0.757004
367.614,0.598923
367.677,0.487935
367.752,0.390273
367.828,0.32066
367.916,0.263685
368.016,0.219318
368.129,0.185496
368.28,0.155341
368.469,0.130424
368.687,0.110993
368.955,0.0947572
369.29,0.0813679
369.693,0.0712489
370.137,0.0646808
370.582,0.0614474
370.878,0.0608881
371.278,0.0623727
371.679,0.0675443
371.946,0.074677
372.131,0.0830824
372.269,0.0930497
372.385,0.10579
372.501,0.125641
372.593,0.149961
372.674,0.180697
372.753,0.223097
372.832,0.281845
372.911,0.362319
372.99,0.470426
373.076,0.624827
373.162,0.827692
373.263,1.12909
373.39,1.60695
373.721,3.03818
373.869,3.47892
374.0,3.61584
374.136,3.46909
374.281,3.02867
374.653,1.43758
374.762,1.05496
374.863,0.773962
374.945,0.596204
375.019,0.472468
375.093,0.37885
375.167,0.311006
375.241,0.264917
375.315,0.237275
375.393,0.225429
375.409,0.225056
375.472,0.229897
375.535,0.244655
375.617,0.278987
375.702,0.332331
375.804,0.420061
375.94,0.571758
376.254,0.973388
376.404,1.0984
376.517,1.12872
376.636,1.09349
376.786,0.9621
377.171,0.457207
377.29,0.329757
377.392,0.244505
377.48,0.188754
377.567,0.146827
377.654,0.116301
377.742,0.0946587
377.829,0.0796108
377.934,0.0676134
378.036,0.06006
378.164,0.0541229
378.377,0.0485409
378.633,0.0448342
379.118,0.040949
379.927,0.0378223
381.427,0.0357982
382.244,0.0356101
383.804,0.0364582
384.975,0.0384935
385.903,0.042276
386.318,0.0457123
386.663,0.0509509
386.855,0.0563106
386.977,0.0619644
387.099,0.0710899
387.2,0.0833316
387.282,0.0979718
387.363,0.118917
387.444,0.148571
387.518,0.185097
387.591,0.233398
387.676,0.307876
387.762,0.405183
387.857,0.543323
387.981,0.770918
388.334,1.5412
388.483,1.77115
388.619,1.84547
388.744,1.78379
388.887,1.57708
389.139,1.02907
389.297,0.696701
389.413,0.497957
389.511,0.3676
389.596,0.279757
389.669,0.221714
389.743,0.177166
389.822,0.141315
389.903,0.11498
389.995,0.0946285
390.097,0.0799352
390.198,0.0706113
390.32,0.0636587
390.442,0.0593413
390.703,0.0542614
390.963,0.0516378
391.484,0.0492554
392.004,0.0486138
393.046,0.0495964
394.721,0.0544486
396.122,0.0612137
397.511,0.071315
398.701,0.0845087
399.689,0.101003
400.478,0.12052
401.171,0.145715
401.757,0.176924
402.26,0.21588
402.666,0.261038
403.043,0.320775
403.372,0.396197
403.623,0.4778
403.832,0.571435
404.023,0.690019
404.173,0.81874
